aceitáveis inaceitável
cientes inconscientes
certa incerta
certo incerto
confortável desconfortável
consistente inconsistentes
convincente convincente
inconveniente conveniente
decidido indeciso
eficiente ineficiente
ética antiético
feliz infeliz
honesto desonesto
impressionante inexpressivo
informado desinformado
conhecido desconhecido
provavel improvável
lógico ilógico
agradável desagradável
possível impossível
possivelmente impossivelmente
produtiva improdutiva
produtivo improdutivo
racional irracional
responsável irresponsável
seguro inseguro
agradável desagradável
