programar programando
dança dançando
depurar depurando
diminuir diminuindo
descrever descrevendo
descobrir descubrindo
reforçar reforçando
voar voando
gerar gerando
ir indo
implementar implementando
aumentar aumentando
inventar inventando
saltar saltando
escutar escutando
olhar olhando
mover movendo
Jogar Jogando
prever prevendo
ler lendo
correr correndo
dizer dizendo
gritar gritando
ver vendo
embaralhar embaralhando
cantar cantando
sentar sentando
nadar nadando
pensar pensando
desaparecer desaparecendo
andar andando
escrever escrevendo
