Albania albanês 
Argentina argentino
Austrália australiano
Áustria Austríaco
Biolrússio bielorrusso
Brasil brasileiro
Bulgária búlgado
Camboja cambojano
Chile chileno
China chinês
Colômbia colombiano
Croácia croata
Dinamarca dinarquês
Egito egípcio
Inglaterra Inglês
França francês
Alemanha alemão
Grécia grego
Islândia islandês
Índia indiano
Irlanda irlandes
Israel israelita
Itália Italiano
Japão japonês
Coréia coreano
Macedônia macedônio
Malta maltês
Mexico mexicano
Holanda Holandês
Noruega norueguês
Peru peruano
Polônia polonês
Portugal Português
Rússia russo
Eslováquia eslovaco
Espanha espanhol
Suécia sueco
Suíça suiço
Tailândia tailandês
