banana bananas
pássaro pássaros
frasco frascos
edifício edifícios
carro carros
gato gatos
criança crianças
nuvem nuvens
cor cores
computador computadores
vaca vacas
cão cães
dólar dólares
asno asnos
sonho sonhos
águia águias
elefante elefantes
olho olhos
dedo dedos
cabra cabras
mão mãos
cavalo cavalos
leão leões
máquina máquinas
manga mangas
homem homens
melão melões
macaco macacos
rato ratos
cebola cebolas
pera peras
porco porcos
abacaxi abacaxis
estrada estradas
serpente serpentes
mulher mulheres
